ചോദ്യം,ഉത്തരം
"ഹെൻറി ഫോർഡ്, മാജിക് ജോൺസൺ, ബെറി ഗോർഡി എന്നിവരെല്ലാം ഏത് യുഎസ് സംസ്ഥാനത്താണ് ജനിച്ചത്?
",മിഷിഗൺ
" 'അഗ്നിവളയം' ഏത് സമുദ്രത്തിലാണ്?
",പസഫിക് സമുദ്രം
പ്രകൃതിവാതകത്തിന്റെ പ്രധാന ഘടകം ഏതാണ്?,മീഥെയ്ൻ
"""12 വോളിയം നോവൽ സീക്വൻസ് ""ഒരു ഡാൻസ് ടു ദി മ്യൂസിക് ഓഫ് ടൈം"" ആരാണ് എഴുതിയത്?",ആന്റണി പവെല്
"1999 ൽ ഓസ്ട്രേലിയയിലെ മെൽബണിൽ ആരംഭിച്ച 'മോവെംബർ' എന്ന വാർഷിക ചാരിറ്റബിൾ സംരംഭം പുരുഷന്മാരുടെ ആരോഗ്യ പ്രശ്നങ്ങൾക്ക് (പ്രത്യേകിച്ച് പ്രോസ്റ്റേറ്റ്, ടെസ്റ്റിക്കിൾ കാൻസർ) വേണ്ടിയുള്ള ബോധവൽക്കരണവും ധാരണയും ഉയർത്തുന്നു. ഇതിന്റെ ഭാഗമായി പുരുഷന്മാർ എന്താണ് ധരിക്കുന്നത്?""",മീശകൾ
" 'ദി എറിക് ബർത്തലോമെവ്' എന്ന വെതർസ്പൂൺസ് പബ് ഏത് പട്ടണത്തിലാണ്?
",മോറെകാംബെ
രണ്ടാം ലോക മഹായുദ്ധത്തിലെ ജർമൻ സ്ഫോടക ബോംബായുധമായ ജങ്കേഴ്സ് ജു 87ന്റെ കൂടുതൽ അറിയപ്പെടുന്ന പേര് എന്തായിരുന്നു?,സ്റ്റുക്ക
ഗ്രനാഡ ടെലിവിഷനുവേണ്ടി ജെറി ആൻഡേഴ്‌സൺ നിർമ്മിച്ച മൂന്നാമത്തെ പപ്പറ്റ് ടെലിവിഷൻ ഷോ എന്തായിരുന്നു ‘ഫോർ ___ ഫാൾസ്’?”,ഫെതർ
സ്പാൻഡാവ് ബാലെറ്റിന്റെ ലീഡ് ഗായകനാര് ?,ടോണി ഹഡ്ലി
"മാർഗരിറ്റ് ഹെൻറി എഴുതിയ 'കിംഗ് ഓഫ് ദി വിൻഡ്' എന്ന കുട്ടികളുടെ പുസ്തകത്തിൽ, സ്വർണ്ണ നിറത്തിലുള്ള അറേബ്യൻ കുതിരയുടെ പേരെന്താണ്?
",ഷാം
1959 - ൽ യുവതികൾക്ക് ഏതു കളിപ്പാട്ടമാണ് റൂത്ത് ഹാൻഡ്ലർ അവതരിപ്പിച്ചത്?,ബാർബി ഡോൾ
"പോളും ലിൻഡ മക്കാർട്ട്‌നിയും ചേർന്ന് രചിച്ച ബോണ്ട് സിനിമയിലെ തീം സോങ്ങ് ഏതാണ്?
",ലൈവ് ആൻഡ് ലെറ്റ് ഡൈ
ബോക്സൈറ്റ് അയിര് നിന്നും ഏത് ലോഹമാണ് ലഭിക്കുന്നത്?,അലുമിനിയം
"ആ പേരിലുള്ള ടിവി പരമ്പരയിലെ സി‌എസ്‌ഐ ടീമിന്റെ തലവൻ ആരാണ്? പരമ്പര ലാസ് വെഗാസിൽ നടക്കുന്നതാണ്, അമേരിക്കൻ നടൻ വില്യം പീറ്റേഴ്‌സൺ ആണ് കഥാപാത്രത്തെ അവതരിപ്പിക്കുന്നത്.
",ഗിൽ ഗ്രിസോം
"ടോൽക്കൈൻ എഴുതിയ 'ദി ലോർഡ് ഓഫ് ദി റിംഗ്സ്' എന്ന നോവലിൽ, തിയോഡൻ രാജാവ് ഗാൻഡൽഫിന് നൽകിയ കുതിരയുടെ പേരെന്താണ്?
",ഷാഡോ ഫാക്സ്
" ഉടമ്പടിപ്പെട്ടകത്തിൽ എന്തായിരുന്നു ഉണ്ടായിരുന്നത്?
",പത്തുപ്രമാണങ്ങളുടെ ശിലാഫലകങ്ങൾ
ലോക കാലാവസ്ഥയെ ബാധിക്കുന്ന ചൂടുള്ള ഒഴുക്ക് എൽ നിനോ എവിടെയാണ്?,പസഫിക്
"മിഡ്', 'ഫോർട്ട്', 'ഓവർ' എന്നിവയ്ക്ക് ശേഷം ഏത് പദമാണ് മൂന്ന് പുതിയ വാക്കുകൾ ഉണ്ടാക്കാൻ കഴിയുക?",നൈറ്റ്
ഹാരി വാർഡൻ ട്രോഫിക്ക് വേണ്ടി മത്സരിക്കുകയാണെങ്കിൽ നിങ്ങള് ഏതു കായിക ഇനത്തിലായിരിക്കും?,ഗോൾഫ്
"സാങ്കൽപ്പിക കഥാപാത്രമായ ഷെർലക് ഹോംസിന്റെ സ്നേഹിതനും സഹായിയും ആയ ഡോക്ടർ വാട്ട്സണ്റെ ആദ്യനാമം എന്താണ്?
",ജോൺ
""" ഫോക്ക് സിംഗറായി ആരംഭിച്ച ഏത് റെക്കോർഡിംഗ്  ആർട്ടിസ്റ്റാണ്, 1970 കളുടെ തുടക്കത്തിൽ ""അമസീംഗ് ഗ്രേസ്"" , ""സെൻഡ് ഇൻ ദി ക്ലോണുകൾ"" എന്നീ ഗാനങ്ങളുമായി മികച്ച പത്ത് ഹിറ്റുകൾ ഉണ്ടായിരുന്നത്?",ജൂഡി കോളിൻസ്
ലോകത്തിലെ ഏറ്റവും ആഴമുള്ള തടാകം ഏതാണ്?,ബൈക്കൽ തടാകം
എങ്ങനെയാണ് ഇയാനും ജാനറ്റ് ടോവും എന്ന കോമഡി ഡ്യുവോയെ കൂടുതൽ അറിയപ്പെട്ടത്?,ക്രാൻകി
1920 കളിൽ ഏത് കലാപരമായ പ്രസ്ഥാനമാണ് ഫ്രഞ്ച് എഴുത്തുകാരനായ ആൻഡ്രെ ബ്രെറ്റൺ ആരംഭിച്ചത്?,സ്യൂറീയലിസം
ഗ്രാന്റ് കന്യന് വഴി ഏത് നദി ഒഴുകുന്നു?,കൊളറാഡോ
റോസ പാർക്ക്സ് ബസ് സീറ്റ് വെളുത്ത യാത്രക്കാരന് കൈമാറാൻ വിസമ്മതിച്ചത് 1955 ൽ ഏത് അമേരിക്കൻ നഗരത്തിൽ കലാപം ഉണ്ടാക്കി?,മൊണ്ട്ഗോമറി
ബ്രെഡ് എന്ന ടിവി പരമ്പരയിലെ പ്രധാന കുടുംബത്തിന്റെ കുടുംബനാമം എന്താണ്?,ബോസ്വെല്
"1992 മുതൽ ബ്ലാക്ക്ബേൺ, റെഡ്ഡിച്ച്, റഷ്ക്ലിഫ്, മെയ്ഡൻഹെഡ് എന്നിവിടങ്ങളിൽ നിന്നുള്ള മണ്ഡല എംപിമാർ വിവിധ സമയങ്ങളിൽ ഏത് സംസ്ഥാന പദവി വഹിച്ചിട്ടുണ്ട്?
",ആഭ്യന്തര സെക്രട്ടറി
ഡൌൺ ടൺ അബ്ബേയുടെ സ്രഷ്ടാവ് ജൂലിയൻ ഫെലോസ് ഏത് സിനിമയ്ക്കാണ് മികച്ച തിരക്കഥയ്ക്ക് ഓസ്കാർ നേടിയത്?,ഗോസ്ഫോർഡ് പാർക്ക്
ട്രെന്റ് ബ്രൂവറിയിൽ ഏത് ബർട്ടൺ ആണ് പെഡിഗ്രി അലെസ് ഉല്പാദിപ്പിക്കുന്നത്?,മാർസ്റ്റൺ
ക്ലോക്ക് സിംഫണി രചിച്ചത് ആരാണ്?,ഹെയ്ഡൻ
"2001-ൽ പുറത്തിറങ്ങിയ ദി സൈലൻസ് ഓഫ് ദി ലാംബ്സിന്റെ തുടർച്ചയായ സിനിമയുടെ പേര് എന്തായിരുന്നു?
",ഹന്നിബാൾ
"ഹാഡോക്ക്, ഉരുളക്കിഴങ്ങ് എന്നിവയുടെ പ്രധാന ചേരുവകൾ ചേർത്ത്, മീൻ സ്റ്റോക്കിലും ചിലപ്പോൾ പാലിലും ഉള്ളി ചേർത്ത്, പാഴ്‌സ്ലി കൊണ്ട് അലങ്കരിച്ചും വിളമ്പുന്ന പരമ്പരാഗത സ്കോട്ടിഷ് സൂപ്പ് ഏതാണ്?
",കല്ലെൻ സ്കിങ്ക്
"1985 നും 1991 നും ഇടയിൽ എസ്റ്റോണിയ, ലാത്വിയ, ലിത്വാനിയ എന്നിവിടങ്ങളിലെ പ്രതിഷേധങ്ങളും പ്രതിഷേധങ്ങളും പലവിധത്തിൽ സോവിയറ്റ് യൂണിയനിൽ നിന്നും (അതിനുശേഷം) റഷ്യയിൽ നിന്നും സ്വാതന്ത്ര്യം വീണ്ടെടുക്കാൻ കാരണമായി. വിപ്ലവത്തെ ഏതു പേരാണ് വിശേഷിപ്പിച്ചത്? ",സിംഗിംഗ് റെവല്യൂഷൻ
"ക്ലിയോപാട്രയുടെ കുടുംബപ്പേര് എന്താണ്?
",പ്റ്റോളമി
"ടിയാൻ ടിയാൻ , യാങ് ഗുവാങ് ആരാണ്?",പാൻഡകൾ
സ്കോട്ട്ലാന്റ് ലെ ഏറ്റവും വലിയ കൊട്ടാരം ഏതാണ്?,ഡൂൺ കോട്ട
പത്തൊൻപതാം നൂറ്റാണ്ടിലെ ഏത് സംഘർഷമാണ് ചാൾസ് ഫ്രാസിയറിന്റെ 'കോൾഡ് മൌണ്ടൻ' നോവലിന് പിന്നിലെ പശ്ചാത്തലം?,അമേരിക്കൻ ആഭ്യന്തരയുദ്ധം
ഏതൊരു സിനിമയ്ക്കാണ് കത്രീൻ ഹെപ്ബർന് മൂന്നാമത്തെ ഓസ്കാർ നേടിയത്?,ദി ലയൺ ഇൻ വിൻറർ
"കുറക്കാവോ മദ്യത്തിൽ പരമ്പരാഗതമായി പഞ്ചസാരയും ഏത് പഴവും ചേർത്താണ് രുചി കൂട്ടുന്നത്?
",ഓറഞ്ച്
"1971-ലെ മികച്ച നടിക്കുള്ള ഓസ്കാർ നേടാൻ ജെയിൻ ഫോണ്ട ഒരു വേശ്യയുടെ വേഷം ചെയ്തത് ഏത് ചിത്രത്തിലാണ്?
",ക്ളൂട്ട്
"ആരെക്കുറിച്ചാണ് ഡയാന രാജകുമാരി പറഞ്ഞത്, 'അതെ, ഞാൻ അവനെ ആരാധിച്ചിരുന്നു'. 'അതെ, ഞാൻ അവനെ പ്രണയിച്ചിരുന്നു'?
",ജെയിംസ് ഹെവിറ്റ്
ഏപ്രിലിലെ പരമ്പരാഗത ജന്മ കല്ല് എന്താണ്?,ഡയമണ്ട്
"പതിനെട്ടാം നൂറ്റാണ്ടിൽ ജോൺ ഹാരിസൺ ഏത് ഉപകരണം ഉപയോഗിച്ച് കടലിലെ രേഖാംശം നിർണ്ണയിക്കുന്നതിനുള്ള പ്രശ്നം പരിഹരിച്ചു?
",ക്ലോക്ക്
2006 ൽ ജർമ്മനിയിൽ നടന്ന ഫിഫ ലോകകപ്പ് ഫുട്ബോൾ മത്സരത്തിൽ ആരാണ് വിജയിച്ചത്?,ഇറ്റലി
ആഫ്രിക്കയും ഏഷ്യയും ഉൾക്കൊള്ളുന്ന ഏക രാജ്യം ഏതാണ്?,ഈജിപ്ത്
