question,answer
" In which U.S. state were Henry Ford, Magic Johnson and Berry Gordy all born?
",Michigan
" The ‘Ring of Fire’ is in which ocean?
",Pacific Ocean
" What is the main constituent of natural gas?
",Methane
" ""Who wrote the 12 volume novel sequence """"A Dance to the Music of Time”?""
",Anthony Powell
" Conceived in 1999 in Melbourne, Australia, the annual month-long charity effort 'Movember' raises awareness/funds for men's health issues (notably prostate and testicular cancer) involving the wearing of what?
",Moustaches
" In which town is the Wetherspoons pub ' The Eric Bartholemew ' ?
",Morecambe
" What was the more common name for the German World War II dive bomber the Junkers Ju 87?
",Stuka
" ‘Four ‘what’ Falls’ was the third puppet television show produced by Gerry Anderson for Granada Television?
",Feather
" Who was the lead singer with Spandau Ballet ?
",Tony hadley
" In the children’s book ‘King of the Wind’ by Marguerite henry, what is the name of the little golden Arabian stallion?
",Sham
" Ruth Handler introduced what toy for young girls in 1959?
",Barbie Doll
" The theme song of which Bond film was composed by Paul and Linda McCartney?
",Live and let die
" Which metal is obtained from the ore bauxite
",Aluminium
" Who is the head of the CSI team, in the TV series of that name? The series is set in Las Vegas, and the character played by American actor, William Petersen.
",Gil grissom
" In the novel ‘The Lord of the Rings’ by Tolkein, what is the name of the horse given to Gandalf by King Theoden?
",Shadowfax
" What was contained in the Ark of the Covenant?
",Ten Commandments
" Where is El Nino, a warm current that affects the world's weather?
",Pacific
" Which word can go after 'mid', 'fort' and 'over' to produce three new words?
",Night
" What sport would you be playing if competing for the Harry Vardon trophy?
",Golf
" What is the first name of fictional character Sherlock Holmes friend and assistant Dr Watson?
",John
" ""Which recording artist, originally a folk singer had top ten hits in the early 1970's with """"Amazing Grace"""" and """"Send in the Clowns""""?""
",Judy collins
" Which is the world's deepest lake?
",Lake baikal
" How were the comedy duo Ian and Janette Tough better known?
",The krankies
" The French writer Andre Breton initiated which artistic movement in the 1920s, based on Dadaism?
",Surrealism
" Which river runs through the Grand Canyon?
",The Colorado
" Rosa Parkes' refusal to give up her bus seat to a white passenger caused a riot in which US city in 1955?
",Montgomery
" What was the surname of the central family in the tv series ‘Bread’?
",Boswell
" Which office of state has been held at various times since 1992 by the constituency MPs for Blackburn, Redditch, Rushcliffe and Maidenhead?
",Home Secretary
" Downton Abbey creator Julian Fellowes won an Oscar for best screenplay for which film?
",Gosford Park
" Which Burton on Trent brewery- produces Pedigree Ales?
",Marston
" Who composed the Clock Symphony?
",Haydn
" What was the title of the 2001 film that was a sequel to The Silence of the Lambs?
",Hannibal
" Which traditional Scottish soup is made with the principal ingredients of haddock and potatoes, served in fish stock and sometimes milk with onion added and garnished with parsley?
",Cullen skink
" Between 1985 and 1991 a number of demonstrations and protests led to Estonia, Latvia and Lithuania variously taking back their independence from the USSR and (later) Russia; what overall name has characterised the revolution?
",Singing Revolution
" What dynastic family name of Cleopatra?
",Ptolemy
" Tian Tian and Yang Guang are?
",Pandas
" Which is the largest castle in Scotland?
",Doune castle
" Which nineteenth century conflict is the background to the novel 'Cold Mountain' by Charles Frazier?
",American civil war
" For which movie did Katherine Hepburn win her third Oscar?
",The Lion in Winter
" The liqueur Curacao is traditionally flavoured with sugar and which fruit?
",Orange
" In which film did Jane Fonda play a hooker to win the 1971 Best Actress Oscar?
",Klute
" Of whom did Princess Diana say ‘Yes I adored him’. ‘Yes I was in love with him’?
",James Hewitt
" What is the traditional birth stone for April?
",Diamond
" In the 18th century John Harrison solved the problem of determining longitude at sea using what instrument?
",Clock
" Who won the FIFA World Cup for Association Football in Germany in 2006?
",Italy
" What is the only country whose homeland spans Africa and Asia?
",Egypt
" What colour is the Cortina in a 1978 single by The Tom Robinson Band?
",Grey
" The Ohm are a tribute band to which group?
",The Who
" What product was advertised by the slogan ""It takes a licking and keeps on ticking""
",Timex
" Reaching to about 11 kilometres above the earth, what is the name of the lowest part of the Earth's atmosphere?
",Troposphere
" Dresden china originated in which country?
",Germany
" Which 1993 film is about the affair between author C S Lewis and poet Joy Grisham?
",Shadowlands
" A purfle is an ornamental border, typically inlaid on which musical instrument?
",Violin
" ""What sport is featured in the musical """"The Beautiful Game"""" by Andrew Lloyd Webber and Ben Elton?""
",Soccer
" The Fountain of Wealth is in which Asian city?
",Singapore
" 
",English
" Which country was created from the counties of Schellenberg and Vaduz in 1699?
",Liechtenstein
" What was Glenn Miller's signature tune?
",Moonlight Serenade
" Which British singer was the second wife of actor Roger Moore?
",Dorothy Squires
" What is a filbert nut more commonly called, from the name of the tree bearing it?
",Hazelnut
" Which European country's flag is an upside - down version of the Russian flag?
",Serbia
" Which English Victorian author was born in 1812 in Old Commercial Rd, Landport, Portsmouth?
",Charles Dickens
